osmid,y,x,street_count,highway,geometry,elevation
1314275931,26.6825738,88.443765,3,,POINT (88.443765 26.6825738),113.0
1314275942,26.6825959,88.4439858,3,,POINT (88.4439858 26.6825959),113.0
1314275969,26.6827338,88.4437424,3,,POINT (88.4437424 26.6827338),113.0
1314275978,26.6827606,88.4439621,4,,POINT (88.4439621 26.6827606),113.0
1314276023,26.682935,88.4439369,3,,POINT (88.4439369 26.682935),113.0
1314276041,26.6830652,88.4439182,3,,POINT (88.4439182 26.6830652),113.0
1315478115,26.6838954,88.4437989,3,,POINT (88.4437989 26.6838954),114.0
1315478117,26.6839256,88.444064,3,,POINT (88.444064 26.6839256),114.0
1315478132,26.6845105,88.4437042,1,,POINT (88.4437042 26.6845105),113.0
1315478794,26.7017361,88.4419945,1,,POINT (88.4419945 26.7017361),122.0
1315478874,26.7026959,88.4429231,1,,POINT (88.4429231 26.7026959),122.0
1315478883,26.7027962,88.4416459,1,,POINT (88.4416459 26.7027962),122.0
1315478890,26.7029037,88.4405544,1,,POINT (88.4405544 26.7029037),122.0
1315480078,26.7195048,88.420127,1,,POINT (88.420127 26.7195048),120.0
1315590827,26.7147272,88.4225095,1,,POINT (88.4225095 26.7147272),127.0
1325765160,26.6944012,88.446248,1,,POINT (88.446248 26.6944012),118.0
2382088535,26.7309866,88.4068681,1,,POINT (88.4068681 26.7309866),122.0
2382089203,26.7313563,88.4075656,1,,POINT (88.4075656 26.7313563),123.0
2382089205,26.7306639,88.4080833,1,,POINT (88.4080833 26.7306639),122.0
2382090740,26.7319268,88.4086899,1,,POINT (88.4086899 26.7319268),122.0
4195326649,26.7196777,88.4203827,1,,POINT (88.4203827 26.7196777),120.0
4195326668,26.721092,88.4233942,1,,POINT (88.4233942 26.721092),121.0
4195328135,26.7418079,88.4326166,1,,POINT (88.4326166 26.7418079),129.0
4195328137,26.7418307,88.4320288,1,,POINT (88.4320288 26.7418307),129.0
8039808430,26.680415,88.4420388,1,,POINT (88.4420388 26.680415),114.0
8543875324,26.7056794,88.4304793,1,,POINT (88.4304793 26.7056794),121.0
8543875326,26.7058378,88.4306331,1,,POINT (88.4306331 26.7058378),121.0
9083512092,26.7237054,88.41396,3,,POINT (88.41396 26.7237054),121.0
9083512093,26.7237987,88.4141521,1,,POINT (88.4141521 26.7237987),121.0
9083512104,26.7235979,88.4140262,1,,POINT (88.4140262 26.7235979),121.0
9083512105,26.7239186,88.4136328,1,,POINT (88.4136328 26.7239186),121.0
9083512106,26.7236261,88.4138132,1,,POINT (88.4138132 26.7236261),121.0
9083512107,26.7237841,88.4137157,4,,POINT (88.4137157 26.7237841),121.0
9083512109,26.7235028,88.4135127,1,,POINT (88.4135127 26.7235028),121.0
9657438366,26.7048142,88.4398841,1,,POINT (88.4398841 26.7048142),121.0
9657718470,26.6898626,88.4108423,1,,POINT (88.4108423 26.6898626),118.0
9665553921,26.6949255,88.4462741,4,,POINT (88.4462741 26.6949255),118.0
9665553926,26.6953171,88.4470845,3,,POINT (88.4470845 26.6953171),118.0
9665553967,26.6954922,88.4459121,1,,POINT (88.4459121 26.6954922),118.0
9665577350,26.6958539,88.4469753,1,,POINT (88.4469753 26.6958539),118.0
9665577352,26.6957416,88.4468743,3,,POINT (88.4468743 26.6957416),118.0
9665577373,26.6948214,88.4464182,3,,POINT (88.4464182 26.6948214),118.0
9665577375,26.6949631,88.446546,4,,POINT (88.446546 26.6949631),118.0
9665577376,26.6954139,88.4469527,3,,POINT (88.4469527 26.6954139),118.0
9665577377,26.695068,88.4464063,4,,POINT (88.4464063 26.695068),118.0
9665577378,26.6948673,88.4466737,3,,POINT (88.4466737 26.6948673),118.0
9665699088,26.6845063,88.4466141,1,,POINT (88.4466141 26.6845063),113.0
9667483338,26.7063534,88.4319281,1,,POINT (88.4319281 26.7063534),121.0
9774802176,26.7305849,88.4091282,1,,POINT (88.4091282 26.7305849),121.0
9774802186,26.7311312,88.4083322,3,,POINT (88.4083322 26.7311312),122.0
11205953451,26.6946497,88.4450346,1,,POINT (88.4450346 26.6946497),115.0
11218070114,26.6841957,88.4437569,3,,POINT (88.4437569 26.6841957),114.0
11218070132,26.6844499,88.4439423,1,,POINT (88.4439423 26.6844499),114.0
11218070133,26.6844091,88.4435841,1,,POINT (88.4435841 26.6844091),113.0
11218070134,26.684425,88.443725,4,,POINT (88.443725 26.684425),113.0
11218070135,26.6844162,88.4436477,3,,POINT (88.4436477 26.6844162),113.0
11218070136,26.6826016,88.4440409,3,elevator,POINT (88.4440409 26.6826016),113.0
11218101837,26.682768,88.4440228,3,elevator,POINT (88.4440228 26.682768),113.0
11218107711,26.6826255,88.4426407,3,,POINT (88.4426407 26.6826255),113.0
11218107712,26.6826024,88.4424413,3,,POINT (88.4424413 26.6826024),113.0
11218107713,26.6824415,88.4424675,3,,POINT (88.4424675 26.6824415),113.0
11218107714,26.6827987,88.4426156,4,,POINT (88.4426156 26.6827987),113.0
11222438825,26.6865002,88.4434331,1,,POINT (88.4434331 26.6865002),115.0
11222438827,26.6865186,88.4436406,1,,POINT (88.4436406 26.6865186),115.0
11222438830,26.6829479,88.4439351,3,,POINT (88.4439351 26.6829479),113.0
11222438832,26.6823585,88.4417716,3,,POINT (88.4417716 26.6823585),113.0
11222438833,26.682274,88.4410709,3,,POINT (88.4410709 26.682274),113.0
11222438834,26.6825139,88.4417503,3,,POINT (88.4417503 26.6825139),113.0
11222438835,26.6824326,88.441051,3,,POINT (88.441051 26.6824326),113.0
11222438836,26.6832578,88.4438905,3,,POINT (88.4438905 26.6832578),113.0
11222442415,26.6821922,88.4401378,1,,POINT (88.4401378 26.6821922),113.0
11222442424,26.6823255,88.4399155,1,,POINT (88.4399155 26.6823255),113.0
11222453637,26.6832335,88.443678,1,,POINT (88.443678 26.6832335),113.0
11222978238,26.6947284,88.4465468,3,,POINT (88.4465468 26.6947284),118.0
11222978239,26.695133,88.4463196,3,,POINT (88.4463196 26.695133),118.0
11238711270,26.6873287,88.4411566,1,,POINT (88.4411566 26.6873287),115.0
11238711271,26.6873059,88.4410592,1,,POINT (88.4410592 26.6873059),115.0
11238711273,26.6873262,88.4410941,3,,POINT (88.4410941 26.6873262),115.0
11238722919,26.6845572,88.4548646,1,,POINT (88.4548646 26.6845572),114.0
11238723012,26.6843195,88.4469691,3,,POINT (88.4469691 26.6843195),113.0
11238723025,26.6845215,88.4468023,1,,POINT (88.4468023 26.6845215),113.0
